company_id,company
1,Flash Cab
2,Taxicab Insurance Agency Llc
3,City Service
4,Chicago Independents
5,Globe Taxi
6,Sun Taxi
7,Taxi Affiliation Services
8,5 Star Taxi
9,Tac - Yellow Cab Association
10,Patriot Taxi Dba Peace Taxi Associat
11,Medallion Leasin
12,"Taxicab Insurance Agency, LLC"
13,Choice Taxi Association
14,Blue Ribbon Taxi Association
15,Chicago Taxicab
16,4053 - 40193 Adwar H. Nikola
17,Wolley Taxi
18,Top Cab
19,Chicago City Taxi Association
20,Tac - American United Dispatch
21,312 Medallion Management Corp
22,Tac - Checker Cab Dispatch
23,Choice Taxi Association Inc
24,Setare Inc
25,Koam Taxi Association
26,Star North Taxi Management Llc
27,Tac - Blue Diamond Dispatch
28,6574 - Babylon Express Inc.
29,U Taxicab
30,2733 - 74600 Benny Jona
31,5167 - 71969 5167 Taxi Inc
32,Metro Jet Taxi A.
33,Tac - Yellow Non Color
